C.D.S.  -  SIMBAD4 rel 1.8  -  2025.04.02CEST05:40:14

plx >8.49&plx< 8.51&Vmag< 20&Bmag< 20&maintypes='*'
---------------------------------------------------

Number of objects : 507

 # ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type     
---;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;--------------------
347;TYC 3467-921-1                     ;Em*;13 56 36.0689281992 +47 40 42.906980316;     ~   ;12.522   ;11.684   ;11.475   ;11.439157;K3                  
348;TYC 3700-671-1                     ;PM*;02 44 33.4602521760 +53 48 51.649104276;     ~   ;12.49    ;11.54    ;     ~   ;11.219228;~                   
349;TYC 3857-403-1                     ;PM*;13 44 39.6327157224 +58 50 47.470144704;     ~   ;12.20    ;11.08    ;     ~   ;11.038596;~                   
350;TYC 3917-245-1                     ;*  ;18 28 27.6308518872 +58 20 22.365707568;     ~   ;12.65    ;11.29    ;     ~   ;11.856727;~                   
351;TYC 4210-807-1                     ;PM*;17 08 48.7038382872 +66 00 13.423722912;     ~   ;11.43    ;10.62    ;     ~   ;10.471291;~                   
352;TYC 4263-1123-1                    ;PM*;22 07 17.5276178808 +61 30 37.373389956;     ~   ;12.49    ;11.67    ;     ~   ;11.403301;~                   
353;TYC 4394-1446-1                    ;PM*;12 33 59.6636745000 +69 41 21.577845264;     ~   ;11.79    ;10.83    ;     ~   ;10.761011;~                   
354;TYC 4535-1184-1                    ;PM*;07 53 57.2033374608 +79 56 50.745312888;     ~   ;12.21    ;11.34    ;     ~   ;11.260361;~                   
355;TYC 4581-263-1                     ;*  ;17 26 27.9183995856 +82 08 46.971658860;     ~   ;12.27    ;11.32    ;     ~   ;10.941964;~                   
356;TYC 4617-1352-1                    ;*  ;05 20 58.5779605896 +83 18 55.749798324;     ~   ;12.85    ;12.05    ;     ~   ;11.580613;~                   
357;TYC 4634-777-1                     ;PM*;15 37 15.8097262104 +82 37 19.965937404;     ~   ;12.06    ;11.18    ;     ~   ;11.210156;~                   
358;TYC 4681-2413-1                    ;PM*;01 09 30.5883640680 -03 41 42.582171840;     ~   ;12.45    ;11.47    ;     ~   ;11.351699;~                   
359;TYC 4713-146-1                     ;PM*;03 07 33.0334056408 -06 47 35.761055568;     ~   ;12.29    ;11.10    ;     ~   ;11.127317;~                   
360;TYC 4732-559-1                     ;Em*;04 16 24.9106659408 -06 59 09.617538120;     ~   ;12.49    ;11.53    ;     ~   ;11.205613;G7                  
361;BD-00 2156                         ;Em*;09 14 37.6963098480 -00 37 53.335059348;     ~   ;11.26    ;10.57    ;     ~   ;10.377760;G4                  
362;TYC 4907-1003-1                    ;PM*;10 19 06.1557761664 -02 35 53.654158464;     ~   ;12.35    ;11.57    ;     ~   ;11.175396;~                   
363;TYC 4915-721-1                     ;Em*;10 32 28.3757004936 -04 51 06.256484172;     ~   ;11.50    ;10.84    ;     ~   ;10.647057;F9                  
364;TYC 4923-137-1                     ;V* ;11 29 54.2325698304 -02 19 26.283715536;     ~   ;11.79    ;10.81    ;10.94    ;10.847484;~                   
365;TYC 4936-24-1                      ;*  ;11 37 06.4609139208 -05 06 09.274926636;     ~   ;12.76    ;12.06    ;     ~   ;11.366953;~                   
366;TYC 5204-956-1                     ;PM*;21 06 44.4190556832 -06 20 17.483539956;     ~   ;12.17    ;11.22    ;     ~   ;11.060590;~                   
367;TYC 5240-1330-1                    ;PM*;22 40 18.7945304016 -05 54 16.805475000;     ~   ;11.77    ;11.10    ;     ~   ;10.842964;~                   
368;TYC 5322-665-1                     ;PM*;04 50 45.2023714272 -09 04 11.826214752;     ~   ;12.00    ;11.38    ;     ~   ;11.110845;~                   
369;TYC 5342-752-1                     ;PM*;05 13 46.2877784688 -13 38 05.471024280;     ~   ;12.50    ;11.59    ;     ~   ;11.296170;~                   
370;TYC 5469-518-1                     ;*  ;09 38 04.2786562512 -12 32 00.115757088;     ~   ;12.99    ;12.07    ;     ~   ;11.927468;~                   
371;TYC 5837-114-1                     ;*  ;23 50 49.4978708856 -12 54 38.476197360;     ~   ;12.31    ;11.75    ;     ~   ;11.416174;~                   
372;TYC 5844-385-1                     ;*  ;00 09 40.9170226704 -22 22 56.912021616;     ~   ;12.57    ;11.54    ;     ~   ;11.428501;~                   
373;TYC 5894-768-1                     ;*  ;04 37 15.8287905360 -18 36 17.513623008;     ~   ;11.877   ;11.378   ;     ~   ;11.422229;~                   
374;TYC 5907-398-1                     ;*  ;04 52 44.8284176958 -18 55 03.364196228;     ~   ;12.62    ;12.04    ;     ~   ;12.0568  ;~                   
375;TYC 5925-1542-1                    ;*  ;05 39 24.3337337760 -19 53 55.335028596;     ~   ;13.01    ;11.75    ;     ~   ;11.343401;~                   
376;TYC 6085-1197-1                    ;*  ;11 25 35.0215831056 -16 13 38.271590724;     ~   ;12.06    ;11.37    ;     ~   ;11.344596;~                   
377;TYC 6258-866-1                     ;*  ;17 57 35.4525544224 -20 23 01.575174660;     ~   ;11.52    ;10.85    ;     ~   ;10.656074;~                   
378;TYC 6434-1944-1                    ;PM*;02 32 19.3555189080 -25 08 27.650910228;     ~   ;12.61    ;11.60    ;     ~   ;11.508316;~                   
379;TYC 6559-425-1                     ;PM*;08 06 58.1740127640 -25 01 25.407287004;     ~   ;12.42    ;11.52    ;     ~   ;11.175624;~                   
380;TYC 6643-727-1                     ;PM*;11 00 31.0392850440 -27 01 51.638562660;     ~   ;12.34    ;11.78    ;     ~   ;11.425792;~                   
381;TYC 6712-1382-1                    ;*  ;13 16 10.0889341200 -28 43 38.566058016;     ~   ;11.62    ;10.93    ;     ~   ;10.826521;~                   
382;TYC 6739-868-1                     ;PM*;14 21 00.5280780960 -26 54 53.755113420;     ~   ;11.48    ;10.67    ;     ~   ;10.572124;~                   
383;TYC 6827-781-1                     ;*  ;17 36 55.5789606288 -24 06 50.336038188;     ~   ;12.27    ;11.42    ;     ~   ;10.978734;~                   
384;TYC 7063-575-1                     ;*  ;05 28 44.8055939208 -34 49 48.896026176;     ~   ;12.15    ;11.20    ;     ~   ;11.037698;~                   
385;TYC 7092-1051-1                    ;PM*;06 52 38.9505561504 -32 32 30.328572624;     ~   ;12.38    ;11.49    ;     ~   ;11.212217;~                   
386;TYC 7098-374-1                     ;*  ;07 04 35.3721447672 -34 33 04.021444440;     ~   ;12.10    ;11.31    ;     ~   ;11.192003;~                   
387;TYC 7123-903-1                     ;PM*;07 48 53.2566917040 -32 29 27.582150552;     ~   ;13.603   ;12.468   ;12.111   ;12.080655;~                   
388;TYC 7474-948-1                     ;PM*;21 27 20.0846024448 -31 13 34.879311264;     ~   ;13.71    ;11.41    ;     ~   ;11.443846;~                   
389;TYC 7493-627-1                     ;PM*;21 41 56.9699578752 -37 09 52.069337496;     ~   ;11.88    ;11.19    ;     ~   ;10.891397;G9V                 
390;TYC 7547-950-1                     ;PM*;01 27 39.7801540080 -42 42 58.712646960;     ~   ;12.05    ;11.28    ;     ~   ;11.049848;~                   
391;TYC 7604-1463-1                    ;*  ;05 38 48.3006541512 -41 28 13.065843612;     ~   ;12.22    ;11.22    ;     ~   ;11.217965;~                   
392;TYC 8180-1169-1                    ;PM*;09 34 03.9939412776 -51 58 07.043685096;     ~   ;12.06    ;11.03    ;     ~   ;11.135990;~                   
393;TYC 8652-96-1                      ;*  ;12 59 53.2129049256 -55 31 27.719163444;     ~   ;13.04    ;11.79    ;     ~   ;11.914855;~                   
394;TYC 9153-1376-1                    ;SB*;03 54 46.4495165136 -68 34 07.086353628;     ~   ;12.67    ;11.44    ;     ~   ;11.370989;~                   
395;TYC 9186-476-1                     ;PM*;06 55 11.7540998256 -71 46 00.548982048;     ~   ;12.82    ;12.07    ;     ~   ;11.592687;~                   
396;TYC 9201-1944-1                    ;PM*;08 23 13.2002345784 -71 15 06.181015212;     ~   ;12.59    ;11.71    ;     ~   ;11.190121;~                   
397;TYC 9212-686-1                     ;PM*;10 53 55.3673445048 -67 31 48.037519956;     ~   ;12.45    ;11.63    ;     ~   ;11.299337;~                   
398;TYC 8696-99-1                      ;PM*;15 38 25.1649294240 -53 54 47.459326752;     ~   ;12.22    ;11.16    ;     ~   ;11.227882;~                   
399;TYC 9234-221-1                     ;PM*;11 41 27.0584695608 -72 44 16.100903112;     ~   ;12.80    ;11.88    ;     ~   ;11.602889;~                   
400;TYC 8747-730-1                     ;PM*;18 03 31.8659196264 -55 41 34.811133360;     ~   ;11.92    ;11.55    ;     ~   ;11.203793;~                   
401;TYC 9425-84-1                      ;PM*;12 50 42.4496130504 -82 20 22.572448548;     ~   ;12.06    ;11.37    ;     ~   ;11.023126;~                   
402;TYC 8921-934-1                     ;*  ;07 19 02.2276298544 -65 51 46.390851036;     ~   ;12.65    ;11.50    ;     ~   ;11.166764;~                   
403;TYC 8928-1040-1                    ;SB*;08 16 43.6546134408 -63 11 22.075536444;     ~   ;11.83    ;11.27    ;     ~   ;10.982372;~                   
404;TYC 8933-1110-1                    ;*  ;08 30 07.7556673320 -65 18 05.884685388;     ~   ;12.75    ;12.02    ;     ~   ;11.417064;~                   
405;TYC 8979-1399-1                    ;PM*;12 21 29.4131975544 -63 33 29.819737548;     ~   ;11.85    ;11.28    ;     ~   ;11.083294;~                   
406;TYC 9001-392-1                     ;PM*;12 54 48.0398895624 -66 29 35.314372140;     ~   ;13.18    ;11.83    ;     ~   ;11.997650;~                   
407;HD 95324                           ;*  ;10 59 14.0086912778 -61 19 14.733649283;     ~   ;6.113    ;6.180    ;7.287    ;6.176598 ;B8IV                
408;SCR J0416-0126                     ;PM*;04 16 43.7873876160 -01 26 57.450261192;     ~   ;13.16    ;12.19    ;11.26    ;11.874150;~                   
409;UCAC2 9399432                      ;PM*;02 08 43.4480141088 -51 38 27.813151356;     ~   ;15.54    ;14.07    ;14.04    ;13.240914;~                   
410;UCAC2 10330889                     ;PM*;05 31 25.0115452704 -49 59 01.502026224;     ~   ;14.54    ;13.31    ;12.92    ;12.795910;~                   
411;UCAC2 1337850                      ;*  ;21 30 23.8073301312 -71 40 26.223357972;     ~   ;12.72    ;11.79    ;11.59    ;11.489881;~                   
412;UCAC3 161-129147                   ;PM*;14 27 33.7726106376 -09 30 44.805128508;     ~   ;13.458   ;12.418   ;12.24    ;12.065496;~                   
413;UCAC2 13063398                     ;*  ;06 48 45.4254100200 -43 33 10.456744104;     ~   ;13.64    ;12.50    ;12.13    ;12.042244;~                   
414;UCAC2 11242175                     ;*  ;06 28 38.4540451176 -47 36 10.753072740;     ~   ;12.83    ;11.89    ;11.68    ;11.614671;~                   
415;UCAC2 25752648                     ;*  ;09 00 47.7984815112 -16 20 38.821985484;     ~   ;13.30    ;12.26    ;11.98    ;11.919375;~                   
416;UCAC2 6237062                      ;SB*;01 37 36.6422035056 -58 06 40.123240380;     ~   ;13.46    ;12.33    ;12.02    ;11.879860;~                   
417;UCAC4 187-207271                   ;*  ;23 09 39.2824255368 -52 39 55.850360256;     ~   ;14.13    ;12.84    ;12.47    ;12.645794;~                   
418;UCAC2 5234314                      ;Y*?;03 30 43.8236891832 -60 25 39.156844800;     ~   ;13.641   ;12.376   ;11.971   ;11.834958;~                   
419;UCAC3 66-6457                      ;PM*;03 20 50.3630778624 -57 14 35.708194212;     ~   ;13.70    ;12.51    ;12.12    ;12.021151;~                   
420;UCAC2 29759815                     ;*  ;23 21 12.9235758960 -06 09 36.737462268;     ~   ;13.111   ;12.067   ;11.82    ;11.730591;~                   
421;UCAC2 30709745                     ;*  ;14 50 55.7029815168 -03 18 55.923648228;     ~   ;12.49    ;11.60    ;11.46    ;11.310608;~                   
422;UCAC2 25238237                     ;Ro*;03 58 54.6912492264 -17 05 53.200089996;     ~   ;12.91    ;11.93    ;11.79    ;11.6491  ;~                   
423;UCAC3 67-462652                    ;PM*;23 43 34.5157899888 -56 42 05.559957396;     ~   ;14.74    ;13.39    ;13.04    ;12.813510;~                   
424;UCAC2 4491457                      ;*  ;09 26 10.4158504080 -61 48 43.092803520;     ~   ;12.91    ;11.96    ;11.73    ;11.679315;~                   
425;UCAC3 148-391448                   ;PM*;22 42 54.7805226936 -16 01 07.242127032;     ~   ;14.22    ;13.03    ;12.64    ;12.537807;~                   
426;HD 23285A                          ;PM*;03 41 49.4068430832 -48 14 21.029729172;     ~   ;8.125    ;7.673    ;     ~   ;7.594525 ;G8/K1III            
427;UCAC4 676-067942                   ;PM*;19 07 04.6298754096 +45 09 19.165553028;     ~   ;14.598   ;13.088   ;12.672   ;12.609283;~                   
428;UCAC4 463-048695                   ;PM*;11 27 09.5700555432 +02 25 43.550830632;     ~   ;11.79    ;10.96    ;10.83    ;10.774241;~                   
429;UCAC4 558-030071                   ;PM*;06 31 00.7069368024 +21 35 03.895063080;     ~   ;15.53    ;14.04    ;13.58    ;13.436243;~                   
430;UCAC4 588-034577                   ;V* ;06 44 34.1872669728 +27 32 37.407904800;     ~   ;14.50    ;13.22    ;12.75    ;12.741805;~                   
431;UCAC4 402-055179                   ;*  ;13 36 56.4809391840 -09 47 57.180027048;     ~   ;15.004   ;13.645   ;13.267   ;13.008831;~                   
432;UCAC4 392-066316                   ;PM*;16 32 35.0908424784 -11 40 40.051239672;     ~   ;13.904   ;12.776   ;12.607   ;12.370269;~                   
433;HD 144528                          ;PM*;16 07 47.8132995192 -37 00 36.092585628;     ~   ;9.01     ;8.58     ;     ~   ;8.481658 ;F3V                 
434;HD 130222                          ;*  ;14 47 11.2351375584 -13 49 38.883988380;     ~   ;10.06    ;9.56     ;     ~   ;9.385459 ;F7V                 
435;HD 217406                          ;PM*;23 03 00.9297047520 -76 49 12.668293776;     ~   ;10.15    ;9.17     ;     ~   ;8.931760 ;K1III               
436;HD 193941                          ;*  ;20 25 18.0782767728 -52 20 09.965786028;     ~   ;9.39     ;8.93     ;     ~   ;8.857224 ;F5V                 
437;TYC 8837-450-1                     ;*  ;23 09 27.8628698976 -58 52 08.639505336;     ~   ;11.68    ;11.00    ;     ~   ;10.695549;~                   
438;HD 218085                          ;PM*;23 05 34.0415419920 -32 38 32.086287744;     ~   ;9.85     ;9.30     ;     ~   ;9.210327 ;F7V                 
439;HD 177097                          ;PM*;19 04 18.1264654200 -25 30 09.785625696;     ~   ;10.10    ;9.52     ;     ~   ;9.384948 ;F7V                 
440;HD 205459                          ;PM*;21 35 51.3070918896 -17 11 29.555662704;     ~   ;10.047   ;9.44     ;     ~   ;9.277867 ;G5V                 
441;HD 205987                          ;PM*;21 39 19.4770717128 -10 26 49.714719756;     ~   ;10.94    ;10.13    ;     ~   ;10.093805;G3/5V               
442;HD 100070B                         ;*  ;11 30 50.7005802168 -06 42 59.925629088;     ~   ;10.41    ;9.87     ;     ~   ;9.971688 ;~                   
443;HD 213940B                         ;*  ;22 35 34.9580443200 -38 43 33.176169156;     ~   ;10.46    ;9.75     ;     ~   ;9.892096 ;~                   
444;BD+58 992B                         ;PM*;07 01 57.9629011368 +57 57 27.901847736;     ~   ;11.50    ;10.77    ;     ~   ;10.744411;~                   
445;TYC 966-497-2                      ;*  ;16 47 07.4581330968 +09 32 42.709176240;     ~   ;12.23    ;11.64    ;11.148   ;11.124613;~                   
446;HD 235405B                         ;PM*;20 56 37.7286167072 +52 49 37.965589082;     ~   ;12.10    ;11.30    ;     ~   ;11.269256;~                   
447;CPD-58 7479A                       ;*  ;18 44 31.5724894954 -58 31 49.516834352;     ~   ;11.38    ;10.66    ;     ~   ;10.576969;~                   
448;BD-07 6107                         ;** ;23 53 46.897560 -06 13 37.40520        ;     ~   ;12.00    ;11.15    ;10.68    ;     ~   ;~                   
449;CD-46 7308A                        ;PM*;11 42 12.2275420440 -47 05 19.832159220;     ~   ;11.29    ;10.52    ;     ~   ;10.364850;~                   
450;CD-29 524A                         ;PM*;01 36 41.6566783320 -28 22 54.459048180;     ~   ;11.94    ;11.26    ;     ~   ;10.949700;~                   
451;UCAC4 537-092209                   ;*  ;19 15 15.2158952592 +17 18 06.489480348;     ~   ;15.854   ;14.352   ;13.919   ;13.367347;~                   
452;UCAC4 584-036586                   ;*  ;07 07 31.9239542832 +26 45 25.633356480;     ~   ;13.917   ;13.172   ;13.003   ;13.141878;~                   
453;UCAC4 325-207292                   ;*  ;19 38 04.6414520232 -25 07 23.862966600;     ~   ;15.010   ;13.703   ;13.297   ;13.092750;~                   
454;UCAC4 186-106168                   ;Y*?;14 36 10.4208412344 -52 56 33.559199268;     ~   ;16.794   ;15.310   ;15.084   ;14.147531;~                   
455;UCAC4 157-094641                   ;Y*?;12 48 42.1926544872 -58 38 20.255511516;     ~   ;17.286   ;15.883   ;15.288   ;14.393048;~                   
456;UCAC4 209-071116                   ;Y*?;13 09 45.6590994168 -48 16 58.993686732;     ~   ;17.145   ;15.521   ;15.424   ;14.371251;~                   
457;UCAC4 728-052865                   ;*  ;15 16 08.0431012008 +55 32 24.540723276;     ~   ;14.156   ;12.841   ;12.410   ;12.378890;~                   
458;LAMOST J070857.76+441558.2         ;WD*;07 08 57.8058191016 +44 15 58.504736772;     ~   ;16.51    ;16.47    ;     ~   ;16.528250;DB                  
459;UCAC4 263-085341                   ;Y*?;15 21 18.0289000824 -37 33 08.445445524;     ~   ;16.523   ;15.105   ;14.872   ;14.045092;~                   
460;UCAC4 407-003601                   ;Y*?;03 01 56.1144868008 -08 40 46.046863812;     ~   ;17.179   ;15.474   ;15.153   ;14.2607  ;~                   
461;UCAC4 208-055666                   ;Y*?;11 15 22.8142147368 -48 35 39.496509924;     ~   ;16.402   ;14.829   ;14.525   ;13.578106;~                   
462;UCAC4 114-013390                   ;PM*;06 46 55.7356832520 -67 18 33.215829552;     ~   ;14.327   ;13.070   ;12.650   ;12.600032;~                   
463;UCAC4 172-005383                   ;PM*;05 12 43.3055418432 -55 46 25.619432232;     ~   ;13.871   ;12.712   ;12.420   ;12.285644;~                   
464;UCAC4 121-010739                   ;PM*;06 39 31.4478252168 -65 52 55.851395268;     ~   ;14.436   ;13.249   ;12.826   ;12.783952;~                   
465;UCAC4 788-026118                   ;PM*;17 04 23.8553397384 +67 26 01.738798980;     ~   ;13.741   ;12.675   ;12.352   ;12.270924;~                   
466;UCAC4 699-027775                   ;PM*;03 57 02.0229463560 +49 41 23.690801472;     ~   ;13.698   ;12.596   ;12.308   ;12.269244;~                   
467;UCAC4 051-001205                   ;PM*;02 01 09.1158581094 -79 49 14.773209424;     ~   ;15.831   ;14.404   ;14.082   ;13.608980;~                   
468;UCAC4 104-001897                   ;PM*;02 11 47.3807743259 -69 21 22.141623160;     ~   ;13.957   ;12.788   ;12.448   ;12.377301;~                   
469;UCAC4 063-003238                   ;PM*;04 25 48.7151095410 -77 35 12.483391742;     ~   ;15.576   ;14.140   ;13.731   ;13.403502;~                   
470;UCAC4 255-054677                   ;*  ;11 47 27.5028735485 -39 05 52.174033566;     ~   ;14.869   ;13.503   ;13.080   ;12.904841;~                   
471;UCAC4 321-071976                   ;*  ;13 49 52.3594649652 -25 55 00.776393834;     ~   ;15.962   ;14.540   ;14.112   ;13.759237;~                   
472;UCAC4 303-081382                   ;PM*;15 04 33.5731715006 -29 26 19.810882713;     ~   ;14.972   ;13.640   ;13.242   ;13.070059;~                   
473;UCAC4 240-082683                   ;*  ;15 27 13.7073038677 -42 10 28.077314374;     ~   ;16.255   ;14.681   ;14.370   ;13.892102;~                   
474;UCAC4 378-080565                   ;PM*;17 01 35.2733582962 -14 29 20.114624351;     ~   ;13.364   ;12.314   ;12.100   ;11.939584;~                   
475;UCAC4 473-127286                   ;*  ;21 11 27.6535623984 +04 31 46.698305216;     ~   ;13.733   ;12.632   ;12.352   ;12.290693;~                   
476;UCAC4 490-142771                   ;PM*;22 27 09.1606515549 +07 57 09.560694299;     ~   ;14.083   ;12.852   ;12.495   ;12.684892;~                   
477;ATO J090.7238+00.5996              ;RS*;06 02 53.7318143696 +00 35 58.325210518;     ~   ;17.109   ;15.691   ;15.224   ;14.509888;M2                  
478;TOI-1883                           ;*  ;08 56 21.3863157307 -12 55 50.361630587;     ~   ;16.885   ;15.639   ;15.305   ;14.501936;~                   
479;HD 38363A                          ;*  ;05 46 00.8039829999 +21 19 04.073793039;     ~   ;8.56     ;8.23     ;     ~   ;8.178750 ;~                   
480;K2-323                             ;*  ;10 37 41.0485595665 +06 17 09.396603761;     ~   ;16.418   ;14.932   ;14.558   ;14.051001;~                   
481;UCAC4 120-004384                   ;Er*;04 42 45.9601775054 -66 00 01.172803374;     ~   ;17.713   ;16.230   ;16.027   ;14.993126;~                   
482;UCAC4 591-012751                   ;SB*;04 32 14.1134680190 +28 05 31.764461878;     ~   ;13.490   ;12.347   ;12.093   ;11.894429;~                   
483;UCAC4 262-049226                   ;SB*;09 55 42.6526698328 -37 39 05.554720620;     ~   ;14.798   ;13.471   ;13.044   ;12.809544;~                   
484;UCAC4 247-027948                   ;SB*;08 43 07.7549831083 -40 40 10.654585930;     ~   ;13.637   ;12.525   ;12.159   ;12.121082;~                   
485;UCAC4 473-001338                   ;*  ;00 57 18.5918972521 +04 32 16.222231455;     ~   ;16.214   ;14.680   ;14.403   ;14.081127;~                   
486;UCAC4 456-001850                   ;PM*;01 29 20.2355833955 +01 01 10.543539556;     ~   ;16.622   ;14.954   ;14.993   ;14.058509;~                   
487;UCAC4 457-004772                   ;PM*;03 31 08.5545909994 +01 14 35.909925572;     ~   ;15.771   ;14.252   ;13.830   ;13.490613;~                   
488;UCAC4 657-049738                   ;*  ;08 02 31.3161624927 +41 21 49.488187833;     ~   ;15.347   ;13.897   ;13.471   ;13.226447;M1.2                
489;UCAC4 581-047910                   ;PM*;12 56 30.0215049868 +26 05 26.768754983;     ~   ;16.446   ;14.822   ;14.385   ;13.940885;M2.5                
490;UCAC4 338-080283                   ;PM*;16 07 05.0348205184 -22 30 14.530231427;     ~   ;14.723   ;13.310   ;12.909   ;12.729609;~                   
491;UCAC4 538-001498                   ;SB*;00 48 49.3054139965 +17 29 24.293708657;     ~   ;15.461   ;13.959   ;13.737   ;13.229603;M2.2                
492;UCAC4 339-001506                   ;PM*;01 20 36.8820206498 -22 18 55.853377830;     ~   ;15.712   ;14.296   ;14.026   ;13.602212;~                   
493;UCAC4 522-046084                   ;*  ;08 30 12.1444520751 +14 22 38.417300637;     ~   ;15.844   ;14.403   ;13.992   ;13.632590;~                   
494;UCAC4 384-062555                   ;PM*;13 14 53.3230184243 -13 13 19.006435876;     ~   ;15.093   ;13.755   ;13.342   ;13.086630;~                   
495;UCAC4 212-062495                   ;PM*;11 39 16.8145437466 -47 42 37.060473266;     ~   ;14.772   ;13.447   ;12.985   ;12.902547;~                   
496;UCAC4 059-018416                   ;PM*;14 34 09.6641338088 -78 16 29.146750178;     ~   ;15.922   ;14.408   ;13.936   ;13.621809;~                   
497;UCAC4 531-011044                   ;*  ;05 02 29.1349345164 +16 00 26.745561478;     ~   ;16.272   ;14.832   ;14.598   ;13.973028;~                   
498;UCAC4 403-055240                   ;PM*;12 21 17.5030249721 -09 33 09.387677685;     ~   ;17.063   ;15.461   ;     ~   ;14.665353;~                   
499;UCAC4 099-014884                   ;*  ;06 39 41.1489915434 -70 16 36.866220949;     ~   ;14.824   ;13.482   ;13.058   ;12.870348;~                   
500;UCAC4 126-010935                   ;PM*;07 11 06.2690152620 -64 53 00.291977558;     ~   ;15.903   ;14.424   ;14.050   ;13.727501;~                   
501;UCAC4 439-054475                   ;PM*;12 37 13.3338483372 -02 22 56.762681294;     ~   ;15.004   ;13.613   ;13.244   ;12.949333;~                   
502;UCAC4 732-052368                   ;*  ;14 00 48.9763973772 +56 15 30.228379683;     ~   ;15.938   ;14.707   ;14.448   ;13.814096;~                   
503;UCAC4 492-062063                   ;*  ;15 33 48.8870478094 +08 23 09.658197345;     ~   ;14.956   ;13.580   ;13.145   ;12.948379;~                   
504;UCAC4 755-054941                   ;PM*;19 11 54.7883036275 +60 59 56.171648416;     ~   ;13.192   ;12.256   ;11.860   ;11.833899;~                   
505;UCAC4 420-141521                   ;*  ;20 43 51.9827260215 -06 01 38.396199864;     ~   ;14.631   ;13.356   ;12.975   ;12.794565;~                   
506;UCAC4 416-148696                   ;PM*;21 45 28.9396804639 -06 57 49.901312625;     ~   ;14.926   ;13.551   ;13.237   ;12.977125;~                   
507;UCAC4 390-139560                   ;*  ;23 49 11.0211857255 -12 01 13.932484402;     ~   ;18.066   ;16.506   ;15.597   ;15.317787;~                   
================================================================================

