C.D.S.  -  SIMBAD4 rel 1.8  -  2025.04.02CEST05:40:14

plx >8.49&plx< 8.51&Vmag< 20&Bmag< 20&maintypes='*'
---------------------------------------------------

Number of objects : 507

 # ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type     
---;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;--------------------
66 ;HD 279481                          ;*  ;04 12 52.8479032128 +38 36 38.196887364;     ~   ;10.54    ;9.85     ;     ~   ;9.763265 ;G0                  
67 ;HD 26515                           ;Em*;04 12 12.8672467008 +14 55 56.813451708;     ~   ;9.04     ;8.56     ;     ~   ;8.489884 ;G0                  
68 ;HD 26358                           ;Em*;04 10 35.6923722264 +05 36 53.690358204;     ~   ;9.46     ;8.63     ;     ~   ;8.446212 ;G5                  
69 ;HD 27914                           ;SB*;04 22 54.3486987465 -34 49 37.420168771;     ~   ;9.41     ;8.92     ;     ~   ;8.829000 ;F7V                 
70 ;HD 276588                          ;PM*;04 36 47.9285727864 +42 38 59.012548836;     ~   ;10.50    ;10.08    ;     ~   ;9.817787 ;F8                  
71 ;HD 29387                           ;PM*;04 38 17.2155218232 +15 27 50.047895916;     ~   ;10.36    ;9.71     ;     ~   ;9.685676 ;K0                  
72 ;BD-07 836                          ;PM*;04 33 11.3269726176 -07 23 37.481740620;     ~   ;10.43    ;9.80     ;9.41     ;9.709709 ;~                   
73 ;CD-31 1928                         ;SB*;04 36 37.5429435864 -31 16 58.775624832;     ~   ;11.59    ;10.87    ;     ~   ;10.727531;~                   
74 ;HD 286044                          ;*  ;04 47 59.6549159136 +14 36 50.329195776;     ~   ;11.397   ;10.676   ;10.517   ;10.505113;G0                  
75 ;HD 30394                           ;*  ;04 46 07.9544772960 -27 23 41.989568640;     ~   ;10.23    ;9.58     ;     ~   ;9.451671 ;G3V                 
76 ;HD 31451                           ;*  ;04 57 50.6025837360 +39 37 56.554200912;     ~   ;9.03     ;8.07     ;     ~   ;7.815280 ;G5                  
77 ;HD 30912                           ;PM*;04 52 47.1169861176 +27 53 50.963387784;     ~   ;6.328    ;5.961    ;     ~   ;5.880425 ;F2IVn               
78 ;HD 32236                           ;SB*;05 02 08.6459331216 +14 44 59.317390212;     ~   ;8.85     ;8.30     ;     ~   ;8.162717 ;F8                  
79 ;HD 32842                           ;*  ;05 05 43.0329434616 -09 25 49.652691312;     ~   ;8.72     ;8.23     ;     ~   ;8.127305 ;F6V                 
80 ;TYC 101-822-1                      ;*  ;05 23 09.7168854600 +01 27 57.861156852;     ~   ;11.86    ;10.96    ;     ~   ;10.900811;~                   
81 ;TYC 1301-1840-1                    ;*  ;05 35 47.5378299672 +17 30 13.175471340;     ~   ;11.19    ;10.51    ;     ~   ;10.268831;~                   
82 ;HD 36273                           ;SB*;05 29 52.5966751056 -16 40 22.721340288;     ~   ;9.64     ;9.16     ;     ~   ;9.048045 ;F6/7V               
83 ;BD-21 1211                         ;*  ;05 36 35.7030185088 -21 35 29.110365348;     ~   ;10.58    ;9.80     ;     ~   ;9.650420 ;G0                  
84 ;CD-26 2273                         ;*  ;05 31 36.5046989184 -26 34 19.439214816;     ~   ;11.05    ;10.30    ;     ~   ;10.233779;~                   
85 ;CD-44 2153                         ;PM*;05 38 20.6196352680 -44 10 39.024479352;     ~   ;11.38    ;10.92    ;     ~   ;10.621964;~                   
86 ;HD 38945                           ;PM*;05 49 42.3577197624 +08 04 20.157092724;     ~   ;9.41     ;8.89     ;     ~   ;8.776985 ;F2                  
